,CurrentPlayer,PlayerStrategy,AvgHealedPerTurn,AvgHeroAttacksPerTurn,AvgCardsDrawnPerTurn,AvgCardsPlayedPerTurn,AvgNumCardsToDraw,AvgFriendlyMinionAttacksPerTurn,AvgFriendlyMinionDeathsPerTurn,AvgMinionsPlayedPerTurn,AvgNumMinionsKilledPerTurn,AvgOptionsPlayedPerTurn,NumSpellsPlayedPerGame,NumHeroPowersUsedPerGame,TotalManaSpentPerGame,AvgRemainingManaPerTurn,AvgManaUsedPerTurn
24717,2.0,1.0,0.0,0.0,1.45,1.18,0.0,1.09,0.45,0.91,0.91,2.27,3.0,0.0,47.0,1.73,4.18
24718,1.0,1.0,0.0,0.0,1.17,1.0,0.0,1.42,0.17,1.0,0.75,2.42,0.0,0.0,65.0,0.83,5.42
24719,2.0,1.0,1.0,0.0,1.27,1.36,0.0,0.0,0.18,0.91,1.27,1.36,5.0,3.0,57.0,0.82,5.09
24720,1.0,1.0,0.0,0.0,1.15,0.92,0.0,0.85,0.23,0.69,0.85,1.77,3.0,1.0,63.0,1.69,4.85
24721,2.0,1.0,0.25,0.0,1.33,1.17,0.0,0.25,0.08,0.83,0.58,1.42,4.0,1.0,49.0,2.25,4.0
24722,1.0,1.0,0.36,0.0,1.64,1.18,0.0,0.09,0.18,0.73,1.0,1.27,5.0,0.0,46.0,1.73,4.18
24723,2.0,1.0,0.0,0.0,1.18,1.09,0.0,1.0,0.27,0.91,0.64,2.09,2.0,1.0,43.0,2.09,3.82
24724,1.0,1.0,0.29,0.0,1.5,1.07,0.0,0.93,0.21,0.71,0.71,2.0,5.0,0.0,72.0,1.64,5.14
24725,2.0,1.0,0.0,0.0,1.57,1.29,0.0,0.57,0.21,0.86,0.93,1.86,6.0,3.0,74.0,1.57,5.21
24726,1.0,1.0,0.0,0.0,1.83,1.0,0.0,0.67,0.33,0.75,1.0,1.67,3.0,1.0,52.0,1.92,4.33
24727,2.0,1.0,0.0,0.0,1.82,1.27,0.0,0.18,0.09,0.82,0.45,1.45,5.0,1.0,40.0,2.36,3.55
24728,1.0,1.0,0.27,0.0,1.09,1.36,0.0,0.73,0.27,0.91,1.0,2.09,5.0,0.0,55.0,0.91,5.0
24729,2.0,1.0,1.09,0.0,1.18,1.27,0.0,1.18,0.36,1.18,0.73,2.45,1.0,2.0,57.0,0.82,5.09
24730,1.0,1.0,0.33,0.0,1.53,0.93,0.0,0.27,0.27,0.73,0.53,1.2,3.0,1.0,60.0,3.0,4.0
24731,2.0,1.0,0.4,0.0,1.47,1.33,0.0,0.47,0.33,0.87,0.8,1.93,7.0,4.0,76.0,2.0,5.0
24732,1.0,1.0,0.28,0.0,2.0,1.17,0.0,0.28,0.17,0.83,0.61,1.44,6.0,9.0,98.0,2.06,5.44
24733,2.0,1.0,0.18,0.0,1.82,1.47,0.0,0.47,0.41,0.94,1.06,1.94,9.0,6.0,98.0,1.65,5.71
24734,1.0,1.0,0.0,0.0,1.0,0.6,0.0,1.2,0.3,0.6,0.8,1.8,0.0,0.0,34.0,2.1,3.4
24735,2.0,1.0,0.22,0.0,1.78,1.44,0.0,0.11,0.11,0.89,0.33,1.56,5.0,0.0,38.0,0.89,4.11
